,0
0,ATR 42-500
1,ATR 72-500
2,Airbus A220 100
3,Airbus A220 300
4,Airbus A220-100
5,Airbus A220-300
6,Airbus A319
7,Airbus A319Neo
8,Airbus A319neo
9,Airbus A320
10,Airbus A320neo
11,Airbus A321-200
12,Airbus A321NeoLR
13,Airbus A321neo
14,Airbus A330-200
15,Airbus A330-300
16,Airbus A330neo-800
17,Airbus A330neo-900
18,Airbus A340-300
19,Airbus A350-900
20,Airbus A380
21,Antonov An-148
22,Antonov An-148 (1190 nmi)
23,Antonov An-148 (241 nmi)
24,Antonov An-158
25,Antonov An-158 (1190 nmi)
26,Antonov An-158 (241 nmi)
27,Beechcraft 1900D (226 nm)
28,Boeing 737 MAX 7
29,Boeing 737 MAX 8
30,Boeing 737 MAX 9
31,Boeing 737 MAX-7
32,Boeing 737 MAX-8
33,Boeing 737 MAX-9
34,Boeing 737-300
35,Boeing 737-600
36,Boeing 737-700
37,Boeing 737-800
38,Boeing 737-800W
39,Boeing 737-900ER
40,Boeing 737-900ERW
41,Boeing 747-400
42,Boeing 747-8
43,Boeing 757-200
44,Boeing 757-200W
45,Boeing 757-300
46,Boeing 767-200ER
47,Boeing 767-300ER
48,Boeing 767-400ER
49,Boeing 777-200
50,Boeing 777-200ER
51,Boeing 777-200LR
52,Boeing 777-300
53,Boeing 777-300ER
54,Boeing 777-9X
55,Boeing 787-8
56,Boeing 787-9
57,Bombardier CRJ100
58,Bombardier CRJ1000
59,Bombardier CRJ200
60,Bombardier CRJ700
61,Bombardier CRJ900
62,Bombardier Dash 8 Q400
63,Dornier 228
64,Dornier 328
65,Embraer Brasilia
66,Embraer E-Jet E2-175
67,Embraer E-Jet E2-190
68,Embraer E-Jet E2-195
69,Embraer E-Jet-170
70,Embraer E-Jet-175
71,Embraer E-Jet-190
72,Embraer E-Jet-195
73,Embraer ERJ-135ER
74,Embraer ERJ-135ER (309 nmi)
75,Embraer ERJ-145ER
76,Embraer ERJ-145ER (305 nmi)
77,Irkut MC-21
78,Pilatus PC-12
79,Quest Kodiak
80,Saab 2000
81,Saab 340
82,Sukhoi SSJ100
83,Xian MA700
